LoadLevel,Node_1_Node_2_cac1,Node_1_Node_2_cac2,Node_1_Node_2_cac3,Node_1_Node_2_eac1,Node_1_Node_3_cac1,Node_1_Node_3_cac3,Node_1_Node_3_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1
01-06 01:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.03275823476,-0.03,0.0136504809299985,-0.12,0.0327582347600014
01-06 02:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.03448992762,-0.03,0.0118081038499978,-0.12,0.0344899276200021
01-06 03:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0361864677999999,-0.03,0.0114348376299993,-0.12,0.0361864678000006
01-06 04:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.03797107673,-0.03,0.015919556180002,-0.12,0.037971076729998
01-06 05:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.03822280039,-0.03,0.0260286496200009,-0.12,0.038222800389999
01-06 06:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.03851376155,-0.03,0.0279930917999974,-0.12,0.0385137615500025
01-06 07:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0369846561899999,-0.03,0.0254893240400023,-0.12,0.0369846561899976
01-06 08:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0346481865499999,-0.03,-0.06,-0.0362684105900027,0.0346481865500027
01-06 09:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.03175443207,-0.03,0.0204081760700005,-0.12,0.0317544320699994
01-06 10:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0271378606499999,-0.03,-0.06,-0.0433346349900024,0.0271378606500024
01-06 11:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0234989905499999,-0.03,-0.06,-0.0443424756299992,0.0234989905499992
01-06 12:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0221984919,-0.03,0.0142312156799989,-0.12,0.022198491900001
01-06 13:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02274576332,-0.03,0.0108153433500007,-0.12,0.0227457633199992
01-06 14:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02349450842,-0.03,-0.06,-0.0503261171799989,0.0234945084199989
01-06 15:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0227432146699999,-0.03,0.0154792487499983,-0.12,0.0227432146700016
01-06 16:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0212861718,-0.03,0.03218882052,-0.12,0.0212861717999999
01-06 17:00:00+01:00,-0.02625,0.0525,0.0925006611849999,0.0,-0.03,-0.12,0.0158431298149999,0.03,0.06,0.12,0.0158431298149999
01-06 18:00:00+01:00,-0.02625,0.0394983337399999,0.105,0.0,-0.03,-0.12,0.01735262734,0.03,0.06,0.12,0.01735262734
01-06 19:00:00+01:00,-0.02625,0.0525,0.09474665911,0.0,-0.03,-0.12,0.01678552341,0.03,0.06,0.12,0.01678552341
01-06 20:00:00+01:00,-0.02625,0.0525,0.0991824585499999,0.0,-0.03,-0.12,0.01564430299,0.03,0.06,0.12,0.01564430299
01-06 21:00:00+01:00,-0.02625,0.0525,0.104385209495,0.0,-0.03,-0.12,0.0129445484649999,0.03,0.06,0.12,0.0129445484649999
01-06 22:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0284534834199999,-0.03,0.0252495966299992,-0.12,0.0284534834200007
01-06 23:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0296212101999999,-0.03,0.0215671702199973,-0.12,0.0296212102000026
01-07 00:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02950806767,-0.03,0.0229784598299986,-0.12,0.0295080676700013
01-07 01:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02841842737,-0.03,0.0254636358700002,-0.12,0.0284184273699997
01-07 02:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0266816796699999,-0.03,0.0304515084400018,-0.12,0.0266816796699981
01-07 03:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02437901207,-0.03,0.0380858391000013,-0.12,0.0243790120699986
01-07 04:00:00+01:00,-0.02625,0.0525,0.0953586515249999,0.0,-0.03,-0.12,0.017473442945,0.03,0.06,0.12,0.017473442945
01-07 05:00:00+01:00,-0.02625,0.0525,0.0892360740899999,0.0,-0.03,-0.12,0.0226480885499999,0.03,0.06,0.12,0.0226480885499999
01-07 06:00:00+01:00,-0.02625,0.03600299362,0.105,0.0,-0.03,-0.12,0.0234451372,0.03,0.06,0.12,0.0234451372
01-07 07:00:00+01:00,-0.02625,0.0391417774199999,0.105,0.0,-0.03,-0.12,0.0207646635999999,0.03,0.06,0.12,0.0207646635999999
01-07 08:00:00+01:00,-0.02625,0.0525,0.0946248187149999,0.0,-0.03,-0.12,0.017199510305,0.03,0.06,0.12,0.017199510305
01-07 09:00:00+01:00,-0.02625,0.0525,0.0965690908349999,0.0,-0.03,-0.12,0.012895264835,0.03,0.06,0.12,0.012895264835
01-07 10:00:00+01:00,-0.02625,0.0525,0.0990300759,0.0,-0.03,-0.12,0.00742325363,0.03,0.06,0.12,0.00742325363
01-07 11:00:00+01:00,0.02625,0.0525,0.0709300851999931,-0.0525,-0.03,-0.12,0.0337500000000068,-0.03,0.0308392499199931,0.12,0.06
01-07 12:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.01442193578,-0.03,0.0300302516200033,-0.12,0.0144219357799966
01-07 13:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0145788306699999,-0.03,-0.06,-0.0345534340000023,0.0145788306700023
01-07 14:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0145567375,-0.03,0.0256938689400004,-0.12,0.0145567374999995
01-07 15:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.01438225625,-0.03,0.0309404821899968,-0.12,0.0143822562500031
01-07 16:00:00+01:00,-0.02625,0.0525,0.0968144939099999,0.0,-0.03,-0.12,0.00674433504,0.03,0.06,0.12,0.00674433504
01-07 17:00:00+01:00,-0.02625,0.0525,0.086916160205,0.0,-0.03,-0.12,0.015215638575,0.03,0.06,0.12,0.015215638575
01-07 18:00:00+01:00,-0.02625,0.034738473515,0.105,0.0,-0.03,-0.12,0.016772769585,0.03,0.06,0.12,0.016772769585
01-07 19:00:00+01:00,-0.02625,0.0360009438049999,0.105,0.0,-0.03,-0.12,0.016665406695,0.03,0.06,0.12,0.016665406695
01-07 20:00:00+01:00,-0.02625,0.0384220573999999,0.105,0.0,-0.03,-0.12,0.01520123857,0.03,0.06,0.12,0.01520123857
01-07 21:00:00+01:00,-0.02625,0.04073023277,0.105,0.0,-0.03,-0.12,0.01304517061,0.03,0.06,0.12,0.01304517061
01-07 22:00:00+01:00,-0.02625,0.0525,0.0968791524649999,0.0,-0.03,-0.12,0.010973378785,0.03,0.06,0.12,0.010973378785
01-07 23:00:00+01:00,-0.02625,0.0525,0.0986455278399999,0.0,-0.03,-0.12,0.01085583186,0.03,0.06,0.12,0.01085583186
