Period,Scenario,LoadLevel,Node,SRMC
2030,sc01,08-13 18:00:00+02:00,Node_4,50.51605619241573
2030,sc01,08-13 18:00:00+02:00,Node_8,50.51605619241573
2030,sc01,08-13 18:00:00+02:00,Node_1,50.51605619241573
2030,sc01,08-13 18:00:00+02:00,Node_5,50.51605619241573
2030,sc01,09-04 17:00:00+02:00,Node_6,15.0
2030,sc01,09-04 17:00:00+02:00,Node_7,15.0
2030,sc01,09-04 17:00:00+02:00,Node_3,15.0
2030,sc01,09-04 17:00:00+02:00,Node_9,15.0
2030,sc01,09-04 17:00:00+02:00,Node_2,15.0
2030,sc01,09-04 17:00:00+02:00,Node_4,15.0
2030,sc01,09-04 17:00:00+02:00,Node_8,15.0
2030,sc01,09-04 17:00:00+02:00,Node_1,15.0
2030,sc01,09-04 17:00:00+02:00,Node_5,15.0
2030,sc01,09-08 03:00:00+02:00,Node_6,15.0
2030,sc01,09-08 03:00:00+02:00,Node_7,15.0
2030,sc01,09-08 03:00:00+02:00,Node_3,15.0
2030,sc01,09-08 03:00:00+02:00,Node_9,15.0
2030,sc01,09-08 03:00:00+02:00,Node_2,15.0
2030,sc01,09-08 03:00:00+02:00,Node_4,15.0
2030,sc01,09-08 03:00:00+02:00,Node_8,15.0
2030,sc01,09-08 03:00:00+02:00,Node_1,15.0
2030,sc01,09-08 03:00:00+02:00,Node_5,15.0
2030,sc01,09-29 06:00:00+02:00,Node_6,15.000000000000005
2030,sc01,09-29 06:00:00+02:00,Node_7,15.000000000000005
2030,sc01,09-29 06:00:00+02:00,Node_3,15.000000000000005
2030,sc01,09-29 06:00:00+02:00,Node_9,15.000000000000005
2030,sc01,09-29 06:00:00+02:00,Node_2,15.000000000000005
2030,sc01,09-29 06:00:00+02:00,Node_4,15.000000000000005
2030,sc01,09-29 06:00:00+02:00,Node_8,15.000000000000005
2030,sc01,09-29 06:00:00+02:00,Node_1,15.0
2030,sc01,09-29 06:00:00+02:00,Node_5,15.000000000000005
2030,sc01,10-06 18:00:00+02:00,Node_6,50.516056192415746
2030,sc01,10-06 18:00:00+02:00,Node_7,50.516056192415746
2030,sc01,10-06 18:00:00+02:00,Node_3,50.516056192415746
2030,sc01,10-06 18:00:00+02:00,Node_9,50.516056192415746
2030,sc01,10-06 18:00:00+02:00,Node_2,50.516056192415746
2030,sc01,10-06 18:00:00+02:00,Node_4,50.516056192415746
2030,sc01,10-06 18:00:00+02:00,Node_8,50.516056192415746
2030,sc01,10-06 18:00:00+02:00,Node_1,50.51605619241573
2030,sc01,10-06 18:00:00+02:00,Node_5,50.516056192415746
2030,sc01,10-11 12:00:00+02:00,Node_6,15.000000000000004
2030,sc01,10-11 12:00:00+02:00,Node_7,15.000000000000004
2030,sc01,10-11 12:00:00+02:00,Node_3,15.000000000000004
2030,sc01,10-11 12:00:00+02:00,Node_9,15.000000000000004
2030,sc01,10-11 12:00:00+02:00,Node_2,15.000000000000004
2030,sc01,10-11 12:00:00+02:00,Node_4,15.000000000000004
2030,sc01,10-11 12:00:00+02:00,Node_8,15.000000000000004
2030,sc01,10-11 12:00:00+02:00,Node_1,15.0
2030,sc01,10-11 12:00:00+02:00,Node_5,15.000000000000004
2030,sc01,10-14 20:00:00+02:00,Node_6,15.000000000000005
2030,sc01,10-14 20:00:00+02:00,Node_7,15.000000000000005
2030,sc01,10-14 20:00:00+02:00,Node_3,15.000000000000005
2030,sc01,10-14 20:00:00+02:00,Node_9,15.000000000000005
2030,sc01,10-14 20:00:00+02:00,Node_2,15.000000000000005
2030,sc01,10-14 20:00:00+02:00,Node_4,15.000000000000005
2030,sc01,10-14 20:00:00+02:00,Node_8,15.000000000000005
2030,sc01,10-14 20:00:00+02:00,Node_1,15.0
