LoadLevel,CCGT_1,CCGT_2,CCGT_3,SolarPV_1,WindFarm_1
01-12 11:00:00+01:00,0.0,3.200217868482014e-14,0.0,0.0,0.0
01-12 12:00:00+01:00,0.0,3.780309398848658e-14,0.0,0.0,0.0
01-12 13:00:00+01:00,0.0,2.400857290751901e-15,0.0,0.0,0.0
01-12 14:00:00+01:00,0.0,2.4993895841873837e-14,0.0,0.0,0.0
01-12 15:00:00+01:00,0.0,5.995204332975845e-15,0.0,0.0,0.0
01-12 16:00:00+01:00,0.0,-2.0899948438568572e-14,0.0,0.0,0.0
01-12 17:00:00+01:00,0.0,1.609823385706477e-15,0.0,0.0,0.0
01-12 18:00:00+01:00,0.0,-4.168887457467463e-14,0.0,0.0,0.0
01-12 19:00:00+01:00,0.0,-2.1288526497187377e-14,0.0,0.0,0.0
01-12 20:00:00+01:00,0.0,-1.0380585280245214e-14,0.0,0.0,0.0
01-12 21:00:00+01:00,0.0,3.0503377601576176e-14,0.0,0.0,0.0
01-12 22:00:00+01:00,0.0,-4.0245584642661925e-16,0.0,0.0,0.0
01-12 23:00:00+01:00,0.0,3.730349362740526e-14,0.0,0.0,0.0
01-13 00:00:00+01:00,0.0,-3.290423489232808e-14,0.0,0.0,0.0
01-13 01:00:00+01:00,0.0,-7.202571872255703e-15,0.0,0.0,0.0
01-13 02:00:00+01:00,0.0,-2.341182803178299e-14,0.0,0.0,0.0
01-13 03:00:00+01:00,0.0,8.104628079763643e-15,0.0,0.0,0.0
01-13 04:00:00+01:00,0.0,-5.204170427930421e-15,0.0,0.0,0.0
01-13 05:00:00+01:00,0.0,-3.2057689836051395e-15,0.0,0.0,0.0
01-13 06:00:00+01:00,0.0,-1.6903145549918008e-14,0.0,0.0,0.0
01-13 07:00:00+01:00,0.0,-7.382983113757291e-15,0.0,0.0,0.0
01-13 08:00:00+01:00,0.0,7.91033905045424e-15,0.0,0.0,0.0
01-13 09:00:00+01:00,0.0,1.0894063429134349e-14,0.0,0.0,0.0
01-13 10:00:00+01:00,0.0,-1.3003487175922146e-14,0.0,0.0,0.0
01-13 11:00:00+01:00,0.0,5.390132784555135e-14,0.0,0.0,0.0
01-13 12:00:00+01:00,0.0,2.220446049250313e-14,0.0,0.0,0.0
01-13 13:00:00+01:00,0.0,1.5709655798445965e-14,0.0,0.0,0.0
01-13 14:00:00+01:00,0.0,1.1698975121987587e-14,0.0,0.0,0.0
01-13 15:00:00+01:00,0.0,3.191891195797325e-15,0.0,0.0,0.0
01-13 16:00:00+01:00,0.0,-6.938893903907228e-16,0.0,0.0,0.0
01-13 17:00:00+01:00,0.0,1.459943277382081e-14,0.0,0.0,0.0
01-13 18:00:00+01:00,0.0,-2.3592239273284576e-14,0.0,0.0,0.0
01-13 19:00:00+01:00,0.0,4.568567746332519e-14,0.0,0.0,0.0
01-13 20:00:00+01:00,0.0,2.450817326860033e-14,0.0,0.0,0.0
01-13 21:00:00+01:00,0.0,3.749778265671466e-14,0.0,0.0,0.0
01-13 22:00:00+01:00,0.0,1.887379141862766e-15,0.0,0.0,0.0
01-13 23:00:00+01:00,0.0,3.6790015478516125e-14,0.0,0.0,0.0
01-14 00:00:00+01:00,0.0,1.709743457922741e-14,0.0,0.0,0.0
01-14 01:00:00+01:00,0.0,-2.0816681711721685e-16,0.0,0.0,0.0
01-14 02:00:00+01:00,0.0,-3.594347042223944e-15,0.0,0.0,0.0
01-14 03:00:00+01:00,0.0,3.6193270602780103e-14,0.0,0.0,0.0
01-14 04:00:00+01:00,0.0,-6.3976601794024646e-15,0.0,0.0,0.0
01-14 05:00:00+01:00,0.0,-0.008479486973325595,0.0084794869733287,0.0,0.0
01-14 06:00:00+01:00,0.0,-0.012745244266640088,0.0127452442666621,0.0,0.0
01-14 07:00:00+01:00,0.0,-0.0067240423099363955,0.0067240423099954,0.0,0.0
01-14 08:00:00+01:00,0.0,8.079648061709577e-14,0.0,0.0,0.0
01-14 09:00:00+01:00,0.0,-1.790234627208065e-14,0.0,0.0,0.0
01-14 10:00:00+01:00,0.0,1.3600232051658168e-14,0.0,0.0,0.0
01-14 11:00:00+01:00,0.0,-1.5210055437364645e-14,0.0,0.0,0.0
01-14 12:00:00+01:00,0.0,6.6058269965196814e-15,0.0,0.0,0.0
01-14 13:00:00+01:00,0.0,5.10702591327572e-15,0.0,0.0,0.0
